DemuxThread::DemuxThread() - DemuxThread
DemuxThread::Init() - url:time.mp4
VideoOutput::videoRefresh() - video pts:1.710

VideoOutput::videoRefresh() - video pts:1.750

VideoOutput::videoRefresh() - video pts:1.750

VideoOutput::videoRefresh() - video pts:1.750

VideoOutput::videoRefresh() - video pts:1.750

fill_audio_pcm() - audio pts:1.792

VideoOutput::videoRefresh() - video pts:1.750

VideoOutput::videoRefresh() - video pts:1.790

VideoOutput::videoRefresh() - video pts:1.830

VideoOutput::videoRefresh() - video pts:1.830

fill_audio_pcm() - audio pts:1.856

VideoOutput::videoRefresh() - video pts:1.830

VideoOutput::videoRefresh() - video pts:1.870

VideoOutput::videoRefresh() - video pts:1.870

VideoOutput::videoRefresh() - video pts:1.910

fill_audio_pcm() - audio pts:1.920

VideoOutput::videoRefresh() - video pts:1.910

VideoOutput::videoRefresh() - video pts:1.950

VideoOutput::videoRefresh() - video pts:1.950

VideoOutput::videoRefresh() - video pts:1.950

fill_audio_pcm() - audio pts:1.984

VideoOutput::videoRefresh() - video pts:1.950

VideoOutput::videoRefresh() - video pts:1.990

fill_audio_pcm() - audio pts:2.048

VideoOutput::videoRefresh() - video pts:2.030

VideoOutput::videoRefresh() - video pts:2.070

fill_audio_pcm() - audio pts:2.112

VideoOutput::videoRefresh() - video pts:2.070

fill_audio_pcm() - audio pts:2.176

VideoOutput::videoRefresh() - video pts:2.110

VideoOutput::videoRefresh() - video pts:2.150

VideoOutput::videoRefresh() - video pts:2.190

fill_audio_pcm() - audio pts:2.240

VideoOutput::videoRefresh() - video pts:2.230

VideoOutput::videoRefresh() - video pts:2.270

VideoOutput::videoRefresh() - video pts:2.270

fill_audio_pcm() - audio pts:2.304

VideoOutput::videoRefresh() - video pts:2.270

VideoOutput::videoRefresh() - video pts:2.310

VideoOutput::videoRefresh() - video pts:2.310

VideoOutput::videoRefresh() - video pts:2.350

VideoOutput::videoRefresh() - video pts:2.350

VideoOutput::videoRefresh() - video pts:2.350

fill_audio_pcm() - audio pts:2.368

VideoOutput::videoRefresh() - video pts:2.350

VideoOutput::videoRefresh() - video pts:2.390

VideoOutput::videoRefresh() - video pts:2.390

VideoOutput::videoRefresh() - video pts:2.390

VideoOutput::videoRefresh() - video pts:2.390

VideoOutput::videoRefresh() - video pts:2.390

VideoOutput::videoRefresh() - video pts:2.470

VideoOutput::videoRefresh() - video pts:2.470

fill_audio_pcm() - audio pts:2.432

VideoOutput::videoRefresh() - video pts:2.470

VideoOutput::videoRefresh() - video pts:2.470

VideoOutput::videoRefresh() - video pts:2.470

VideoOutput::videoRefresh() - video pts:2.470

fill_audio_pcm() - audio pts:2.496

VideoOutput::videoRefresh() - video pts:2.470

VideoOutput::videoRefresh() - video pts:2.550

fill_audio_pcm() - audio pts:2.560

VideoOutput::videoRefresh() - video pts:2.550

VideoOutput::videoRefresh() - video pts:2.590

VideoOutput::videoRefresh() - video pts:2.590

VideoOutput::videoRefresh() - video pts:2.590

VideoOutput::videoRefresh() - video pts:2.590

fill_audio_pcm() - audio pts:2.624

VideoOutput::videoRefresh() - video pts:2.590

VideoOutput::videoRefresh() - video pts:2.630

VideoOutput::videoRefresh() - video pts:2.670

VideoOutput::videoRefresh() - video pts:2.670

fill_audio_pcm() - audio pts:2.688

VideoOutput::videoRefresh() - video pts:2.670

VideoOutput::videoRefresh() - video pts:2.710

VideoOutput::videoRefresh() - video pts:2.710

VideoOutput::videoRefresh() - video pts:2.750

fill_audio_pcm() - audio pts:2.752

VideoOutput::videoRefresh() - video pts:2.750

VideoOutput::videoRefresh() - video pts:2.790

VideoOutput::videoRefresh() - video pts:2.790

VideoOutput::videoRefresh() - video pts:2.790

fill_audio_pcm() - audio pts:2.816

VideoOutput::videoRefresh() - video pts:2.790

VideoOutput::videoRefresh() - video pts:2.830

VideoOutput::videoRefresh() - video pts:2.830

VideoOutput::videoRefresh() - video pts:2.870

fill_audio_pcm() - audio pts:2.880

VideoOutput::videoRefresh() - video pts:2.870

VideoOutput::videoRefresh() - video pts:2.910

VideoOutput::videoRefresh() - video pts:2.910

VideoOutput::videoRefresh() - video pts:2.910

VideoOutput::videoRefresh() - video pts:2.910

VideoOutput::videoRefresh() - video pts:2.910

fill_audio_pcm() - audio pts:2.944

VideoOutput::videoRefresh() - video pts:2.910

VideoOutput::videoRefresh() - video pts:2.950

VideoOutput::videoRefresh() - video pts:2.990

fill_audio_pcm() - audio pts:3.008

VideoOutput::videoRefresh() - video pts:2.990

VideoOutput::videoRefresh() - video pts:3.030

VideoOutput::videoRefresh() - video pts:3.030

VideoOutput::videoRefresh() - video pts:3.030

VideoOutput::videoRefresh() - video pts:3.030

VideoOutput::videoRefresh() - video pts:3.030

VideoOutput::videoRefresh() - video pts:3.030

fill_audio_pcm() - audio pts:3.072

VideoOutput::videoRefresh() - video pts:3.110

VideoOutput::videoRefresh() - video pts:3.110

fill_audio_pcm() - audio pts:3.136

VideoOutput::videoRefresh() - video pts:3.110

fill_audio_pcm() - audio pts:3.200

VideoOutput::videoRefresh() - video pts:3.150

VideoOutput::videoRefresh() - video pts:3.230

fill_audio_pcm() - audio pts:3.264

VideoOutput::videoRefresh() - video pts:3.230

VideoOutput::videoRefresh() - video pts:3.270

fill_audio_pcm() - audio pts:3.328

VideoOutput::videoRefresh() - video pts:3.350

VideoOutput::videoRefresh() - video pts:3.350

VideoOutput::videoRefresh() - video pts:3.350

fill_audio_pcm() - audio pts:3.392

VideoOutput::videoRefresh() - video pts:3.390

VideoOutput::videoRefresh() - video pts:3.430

fill_audio_pcm() - audio pts:3.456

VideoOutput::videoRefresh() - video pts:3.430

VideoOutput::videoRefresh() - video pts:3.470

VideoOutput::videoRefresh() - video pts:3.510

fill_audio_pcm() - audio pts:3.520

VideoOutput::videoRefresh() - video pts:3.510

fill_audio_pcm() - audio pts:3.584

fill_audio_pcm() - audio pts:3.648

VideoOutput::videoRefresh() - video pts:3.590

fill_audio_pcm() - audio pts:3.712

fill_audio_pcm() - audio pts:3.776

VideoOutput::videoRefresh() - video pts:3.630

fill_audio_pcm() - audio pts:3.840

fill_audio_pcm() - audio pts:3.904

VideoOutput::videoRefresh() - video pts:3.670

fill_audio_pcm() - audio pts:3.968

VideoOutput::videoRefresh() - video pts:3.710

fill_audio_pcm() - audio pts:4.032

fill_audio_pcm() - audio pts:4.096

VideoOutput::videoRefresh() - video pts:3.750

fill_audio_pcm() - audio pts:4.160

fill_audio_pcm() - audio pts:4.224

fill_audio_pcm() - audio pts:4.288

VideoOutput::videoRefresh() - video pts:3.790

fill_audio_pcm() - audio pts:4.352

VideoOutput::videoRefresh() - video pts:3.830

fill_audio_pcm() - audio pts:4.416

fill_audio_pcm() - audio pts:4.480

VideoOutput::videoRefresh() - video pts:3.870

fill_audio_pcm() - audio pts:4.544

fill_audio_pcm() - audio pts:4.608

VideoOutput::videoRefresh() - video pts:3.910

fill_audio_pcm() - audio pts:4.672

fill_audio_pcm() - audio pts:4.736

VideoOutput::videoRefresh() - video pts:3.950

fill_audio_pcm() - audio pts:4.800

fill_audio_pcm() - audio pts:4.864

VideoOutput::videoRefresh() - video pts:3.990

fill_audio_pcm() - audio pts:4.928

fill_audio_pcm() - audio pts:4.992

VideoOutput::videoRefresh() - video pts:4.030

fill_audio_pcm() - audio pts:5.056

VideoOutput::videoRefresh() - video pts:4.070

fill_audio_pcm() - audio pts:5.120

fill_audio_pcm() - audio pts:5.184

VideoOutput::videoRefresh() - video pts:4.110

fill_audio_pcm() - audio pts:5.248

fill_audio_pcm() - audio pts:5.312

VideoOutput::videoRefresh() - video pts:4.150

fill_audio_pcm() - audio pts:5.376

fill_audio_pcm() - audio pts:5.440

fill_audio_pcm() - audio pts:5.504

fill_audio_pcm() - audio pts:5.568

fill_audio_pcm() - audio pts:5.632

fill_audio_pcm() - audio pts:5.696

fill_audio_pcm() - audio pts:5.760

fill_audio_pcm() - audio pts:5.824

VideoOutput::MainLoop() - SDL_QUIT
fill_audio_pcm() - audio pts:5.888

fill_audio_pcm() - audio pts:5.952

fill_audio_pcm() - audio pts:6.016

fill_audio_pcm() - audio pts:6.080

fill_audio_pcm() - audio pts:6.144

fill_audio_pcm() - audio pts:6.208

fill_audio_pcm() - audio pts:6.272

fill_audio_pcm() - audio pts:6.336

fill_audio_pcm() - audio pts:6.400

fill_audio_pcm() - audio pts:6.464

fill_audio_pcm() - audio pts:6.528

fill_audio_pcm() - audio pts:6.592

fill_audio_pcm() - audio pts:6.656

fill_audio_pcm() - audio pts:6.720

fill_audio_pcm() - audio pts:6.784

fill_audio_pcm() - audio pts:6.848

fill_audio_pcm() - audio pts:6.912

fill_audio_pcm() - audio pts:6.976

fill_audio_pcm() - audio pts:7.040

fill_audio_pcm() - audio pts:7.104

fill_audio_pcm() - audio pts:7.168

fill_audio_pcm() - audio pts:7.232

fill_audio_pcm() - audio pts:7.296

fill_audio_pcm() - audio pts:7.360

fill_audio_pcm() - audio pts:7.424

fill_audio_pcm() - audio pts:7.488

fill_audio_pcm() - audio pts:7.552

fill_audio_pcm() - audio pts:7.616

fill_audio_pcm() - audio pts:7.680

fill_audio_pcm() - audio pts:7.744

fill_audio_pcm() - audio pts:7.808

fill_audio_pcm() - audio pts:7.872

fill_audio_pcm() - audio pts:7.936

fill_audio_pcm() - audio pts:8.000

fill_audio_pcm() - audio pts:8.064

fill_audio_pcm() - audio pts:8.128

fill_audio_pcm() - audio pts:8.192

fill_audio_pcm() - audio pts:8.256

fill_audio_pcm() - audio pts:8.320

fill_audio_pcm() - audio pts:8.384

fill_audio_pcm() - audio pts:8.448

fill_audio_pcm() - audio pts:8.512

fill_audio_pcm() - audio pts:8.576

fill_audio_pcm() - audio pts:8.640

fill_audio_pcm() - audio pts:8.704

fill_audio_pcm() - audio pts:8.768

fill_audio_pcm() - audio pts:8.832

fill_audio_pcm() - audio pts:8.896

fill_audio_pcm() - audio pts:8.960

fill_audio_pcm() - audio pts:9.024

fill_audio_pcm() - audio pts:9.088

fill_audio_pcm() - audio pts:9.152

fill_audio_pcm() - audio pts:9.216

fill_audio_pcm() - audio pts:9.280

fill_audio_pcm() - audio pts:9.344

fill_audio_pcm() - audio pts:9.408

fill_audio_pcm() - audio pts:9.472

fill_audio_pcm() - audio pts:9.536

fill_audio_pcm() - audio pts:9.600

fill_audio_pcm() - audio pts:9.664

fill_audio_pcm() - audio pts:9.728

fill_audio_pcm() - audio pts:9.792

fill_audio_pcm() - audio pts:9.856

fill_audio_pcm() - audio pts:9.920

fill_audio_pcm() - audio pts:9.984

fill_audio_pcm() - audio pts:10.048

fill_audio_pcm() - audio pts:10.112

fill_audio_pcm() - audio pts:10.176

fill_audio_pcm() - audio pts:10.240

fill_audio_pcm() - audio pts:10.304

fill_audio_pcm() - audio pts:10.368

fill_audio_pcm() - audio pts:10.432

fill_audio_pcm() - audio pts:10.496

fill_audio_pcm() - audio pts:10.560

fill_audio_pcm() - audio pts:10.624

fill_audio_pcm() - audio pts:10.688

fill_audio_pcm() - audio pts:10.752

fill_audio_pcm() - audio pts:10.816

fill_audio_pcm() - audio pts:10.880

fill_audio_pcm() - audio pts:10.944

fill_audio_pcm() - audio pts:11.008

fill_audio_pcm() - audio pts:11.072

fill_audio_pcm() - audio pts:11.136

fill_audio_pcm() - audio pts:11.200

fill_audio_pcm() - audio pts:11.264

fill_audio_pcm() - audio pts:11.328

fill_audio_pcm() - audio pts:11.392

fill_audio_pcm() - audio pts:11.456

fill_audio_pcm() - audio pts:11.520

fill_audio_pcm() - audio pts:11.584

fill_audio_pcm() - audio pts:11.648

fill_audio_pcm() - audio pts:11.712

fill_audio_pcm() - audio pts:11.776

fill_audio_pcm() - audio pts:11.840

fill_audio_pcm() - audio pts:11.904

fill_audio_pcm() - audio pts:11.968

fill_audio_pcm() - audio pts:12.032

fill_audio_pcm() - audio pts:12.096

fill_audio_pcm() - audio pts:12.160

fill_audio_pcm() - audio pts:12.224

fill_audio_pcm() - audio pts:12.288

fill_audio_pcm() - audio pts:12.352

fill_audio_pcm() - audio pts:12.416

fill_audio_pcm() - audio pts:12.480

fill_audio_pcm() - audio pts:12.544

fill_audio_pcm() - audio pts:12.608

fill_audio_pcm() - audio pts:12.672

fill_audio_pcm() - audio pts:12.736

fill_audio_pcm() - audio pts:12.800

fill_audio_pcm() - audio pts:12.864

fill_audio_pcm() - audio pts:12.928

fill_audio_pcm() - audio pts:12.992

fill_audio_pcm() - audio pts:13.056

fill_audio_pcm() - audio pts:13.120

fill_audio_pcm() - audio pts:13.184

fill_audio_pcm() - audio pts:13.248

fill_audio_pcm() - audio pts:13.312

fill_audio_pcm() - audio pts:13.376

fill_audio_pcm() - audio pts:13.440

fill_audio_pcm() - audio pts:13.504

fill_audio_pcm() - audio pts:13.568

fill_audio_pcm() - audio pts:13.632

fill_audio_pcm() - audio pts:13.696

fill_audio_pcm() - audio pts:13.760

fill_audio_pcm() - audio pts:13.824

fill_audio_pcm() - audio pts:13.888

fill_audio_pcm() - audio pts:13.952

fill_audio_pcm() - audio pts:14.016

fill_audio_pcm() - audio pts:14.080

fill_audio_pcm() - audio pts:14.144

fill_audio_pcm() - audio pts:14.208

fill_audio_pcm() - audio pts:14.272

fill_audio_pcm() - audio pts:14.336

fill_audio_pcm() - audio pts:14.400

fill_audio_pcm() - audio pts:14.464

fill_audio_pcm() - audio pts:14.528

fill_audio_pcm() - audio pts:14.592

fill_audio_pcm() - audio pts:14.656

fill_audio_pcm() - audio pts:14.720

fill_audio_pcm() - audio pts:14.784

fill_audio_pcm() - audio pts:14.848

fill_audio_pcm() - audio pts:14.912

fill_audio_pcm() - audio pts:14.976

fill_audio_pcm() - audio pts:15.040

fill_audio_pcm() - audio pts:15.104

fill_audio_pcm() - audio pts:15.168

fill_audio_pcm() - audio pts:15.232

fill_audio_pcm() - audio pts:15.296

fill_audio_pcm() - audio pts:15.360

fill_audio_pcm() - audio pts:15.424

fill_audio_pcm() - audio pts:15.488

fill_audio_pcm() - audio pts:15.552

fill_audio_pcm() - audio pts:15.616

fill_audio_pcm() - audio pts:15.680

fill_audio_pcm() - audio pts:15.744

fill_audio_pcm() - audio pts:15.808

fill_audio_pcm() - audio pts:15.872

fill_audio_pcm() - audio pts:15.936

fill_audio_pcm() - audio pts:16.000

fill_audio_pcm() - audio pts:16.064

fill_audio_pcm() - audio pts:16.128

fill_audio_pcm() - audio pts:16.192

fill_audio_pcm() - audio pts:16.256

fill_audio_pcm() - audio pts:16.320

fill_audio_pcm() - audio pts:16.384

fill_audio_pcm() - audio pts:16.448

fill_audio_pcm() - audio pts:16.512

fill_audio_pcm() - audio pts:16.576

fill_audio_pcm() - audio pts:16.640

fill_audio_pcm() - audio pts:16.704

fill_audio_pcm() - audio pts:16.768

fill_audio_pcm() - audio pts:16.832

fill_audio_pcm() - audio pts:16.896

fill_audio_pcm() - audio pts:16.960

fill_audio_pcm() - audio pts:17.024

fill_audio_pcm() - audio pts:17.088

fill_audio_pcm() - audio pts:17.152

fill_audio_pcm() - audio pts:17.216

fill_audio_pcm() - audio pts:17.280

fill_audio_pcm() - audio pts:17.344

fill_audio_pcm() - audio pts:17.408

fill_audio_pcm() - audio pts:17.472

fill_audio_pcm() - audio pts:17.536

fill_audio_pcm() - audio pts:17.600

fill_audio_pcm() - audio pts:17.664

fill_audio_pcm() - audio pts:17.728

fill_audio_pcm() - audio pts:17.792

fill_audio_pcm() - audio pts:17.856

fill_audio_pcm() - audio pts:17.920

fill_audio_pcm() - audio pts:17.984

fill_audio_pcm() - audio pts:18.048

fill_audio_pcm() - audio pts:18.112

fill_audio_pcm() - audio pts:18.176

fill_audio_pcm() - audio pts:18.240

fill_audio_pcm() - audio pts:18.304

fill_audio_pcm() - audio pts:18.368

fill_audio_pcm() - audio pts:18.432

fill_audio_pcm() - audio pts:18.496

fill_audio_pcm() - audio pts:18.560

fill_audio_pcm() - audio pts:18.624

fill_audio_pcm() - audio pts:18.688

fill_audio_pcm() - audio pts:18.752

fill_audio_pcm() - audio pts:18.816

fill_audio_pcm() - audio pts:18.880

fill_audio_pcm() - audio pts:18.944

fill_audio_pcm() - audio pts:19.008

fill_audio_pcm() - audio pts:19.072

fill_audio_pcm() - audio pts:19.136

fill_audio_pcm() - audio pts:19.200

fill_audio_pcm() - audio pts:19.264

fill_audio_pcm() - audio pts:19.328

fill_audio_pcm() - audio pts:19.392

fill_audio_pcm() - audio pts:19.456

fill_audio_pcm() - audio pts:19.520

fill_audio_pcm() - audio pts:19.584

fill_audio_pcm() - audio pts:19.648

fill_audio_pcm() - audio pts:19.712

fill_audio_pcm() - audio pts:19.776

fill_audio_pcm() - audio pts:19.840

fill_audio_pcm() - audio pts:19.904

